X,Y,Z,azimuth,dip,formation,polarity
329926,4270951.09811,1493.69165039,90,0,topography,1
342178.521663,4262367.75242,2025.29870605,90,0,topography,1
341428.36655,4252884,2321.31201172,90,0,topography,1
329951.0,4270950.0,-2041.05725098,90,0,granite,1
333701.0,4270700.0,-337.667907715,90,0,granite,1
337451.0,4270450.0,1510.04772949,90,0,granite,1
341201.0,4270200.0,2129.77416992,90,0,granite,1
339701.0,4262300.0,1910.7467041,90,0,granite,1
342701.0,4253100.0,2282.75073242,90,0,granite,1
338193.0,4262777.16314,1816.71972713,90,0,negro_fault,1
337843.0,4262923.81289,-2514.25888189,90,0,negro_fault,1
341519.0,4262160.42765,-2498.50986876,90,0,negro_fault,1
341369.0,4262171.50568,2005.70788461,90,0,negro_fault,1
340883.562326,4262215.21772,2906.0,90,0,negro_fault,1
337854.437674,4262852.95947,2906.0,90,0,negro_fault,1
338850.076062,4263937.93953,-2530.00789501,90,0,opal_fault,1
336896.984544,4258525.11297,-2498.50986876,90,0,opal_fault,1
337746.984544,4261987.79674,1816.71972713,90,0,opal_fault,1
